"Kod";"Nazwa";"Rodzaje chorób";"Wiek";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"15-19";"2000";241;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2001";199;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2002";211;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2003";184;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2004";129;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2005";156;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2006";156;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2007";135;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2008";115;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2009";131;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2010";114;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2011";130;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2012";166;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2013";113;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2014";86;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2015";83;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"2016";76;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"1999";4187;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2000";3978;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2001";3600;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2002";3203;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2003";3045;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2004";2836;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2005";2717;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2006";2529;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2007";2538;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2008";2248;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2009";2250;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2010";2086;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2011";2171;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2012";1996;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2013";1903;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2014";1787;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2015";1752;"osoba";"";
0000000;"POLSKA";"ogółem";"20-44";"2016";1801;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"1999";4680;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2000";4221;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2001";4052;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2002";4175;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2003";3968;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2004";3835;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2005";3760;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2006";3655;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2007";3762;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2008";3685;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2009";3704;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2010";3441;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2011";3895;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2012";3404;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2013";3241;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2014";3001;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2015";2909;"osoba";"";
0000000;"POLSKA";"ogółem";"45-64";"2016";2853;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"1999";2936;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2000";2934;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2001";2697;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2002";2761;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2003";2827;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2004";2573;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2005";2537;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2006";2178;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2007";2105;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2008";1957;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2009";2052;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2010";1806;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2011";2171;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2012";1881;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2013";1877;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2014";1754;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2015";1605;"osoba";"";
0000000;"POLSKA";"ogółem";"65 i więcej";"2016";1611;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"1999";11641;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2000";10960;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2001";10183;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2002";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2003";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2004";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2005";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2006";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2007";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2008";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2009";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2010";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2011";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2012";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2013";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2014";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2015";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"ogółem";"2016";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"1999";87;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2000";82;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2001";104;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2002";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2003";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2004";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2005";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2006";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2007";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2008";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2009";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2010";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2011";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2012";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2013";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2014";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2015";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"0-14";"2016";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"1999";258;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2000";224;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2001";193;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2002";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2003";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2004";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2005";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2006";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2007";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2008";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2009";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2010";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2011";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2012";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2013";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2014";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2015";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"15-19";"2016";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"1999";4069;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2000";3875;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2001";3510;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2002";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2003";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2004";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2005";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2006";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2007";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2008";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2009";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2010";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2011";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2012";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2013";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2014";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2015";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"20-44";"2016";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"1999";4455;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2000";4018;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2001";3831;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2002";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2003";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2004";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2005";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2006";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2007";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2008";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2009";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2010";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2011";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2012";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2013";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2014";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2015";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"45-64";"2016";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"1999";2772;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2000";2761;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2001";2545;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2002";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2003";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2004";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2005";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2006";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2007";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2008";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2009";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2010";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2011";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2012";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2013";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2014";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2015";;"osoba";"";
0000000;"POLSKA";"gruźlica układu oddechowego";"65 i więcej";"2016";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"1999";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2000";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2001";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2002";9438;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2003";9207;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2004";8691;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2005";8449;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2006";7879;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2007";7986;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2008";7484;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2009";7654;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2010";6992;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2011";7879;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2012";7018;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2013";6835;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2014";6311;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2015";6078;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"ogółem";"2016";6116;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"1999";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2000";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2001";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2002";56;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2003";31;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2004";36;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2005";38;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2006";26;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2007";35;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2008";41;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2009";36;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2010";22;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2011";60;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2012";52;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2013";62;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2014";44;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2015";51;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"0-14";"2016";76;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"1999";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2000";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2001";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2002";180;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2003";152;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2004";111;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2005";132;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2006";129;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2007";122;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2008";103;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2009";114;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2010";103;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2011";109;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2012";143;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2013";104;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2014";84;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2015";70;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"15-19";"2016";68;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"1999";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2000";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2001";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2002";2893;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2003";2825;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2004";2643;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2005";2522;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2006";2348;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2007";2376;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2008";2089;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2009";2103;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2010";1969;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2011";2046;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2012";1886;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2013";1822;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2014";1692;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2015";1650;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"20-44";"2016";1733;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"1999";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2000";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2001";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2002";3839;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2003";3649;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2004";3561;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2005";3460;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2006";3422;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2007";3532;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2008";3473;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2009";3503;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2010";3234;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2011";3692;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2012";3230;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2013";3129;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2014";2877;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2015";2812;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"45-64";"2016";2747;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"1999";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2000";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2001";;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2002";2470;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2003";2550;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2004";2340;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2005";2297;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2006";1954;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2007";1921;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2008";1778;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2009";1898;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2010";1664;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2011";1972;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2012";1707;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2013";1718;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2014";1614;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2015";1495;"osoba";"";
0000000;"POLSKA";"gruźlica płuc";"65 i więcej";"2016";1492;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"1999";6709;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2000";6518;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2001";6083;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2002";5896;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2003";5830;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2004";5308;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2005";5399;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2006";5229;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2007";5410;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2008";5094;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2009";5223;"osoba";"";
0000000;"POLSKA";"gruźlica potwierdzona bakteriologicznie";"ogółem";"2010";4756;"osoba";"";
